cur_zone_number,success_ratio_within_window,success_count_within_window,success,stepN,episodeN,episodeNInZone,episodeInWindow,ease_count,total_streched_ctr,restart_game_count,total_reward,total_step_count_for_experiment,goal,distance_traveled,energy_consumed,flight_time,time_stamp,weight_file_under_test
0,0.001,1,True,148,1,1,1,0,0,0,866.1537266623453,148,"[11.0, -9.75, 0]",26.038333892822266,0.0,17.505373001098633,1653443882246959360,
0,0.001,1,False,545,2,2,2,0,0,0,-663.5381817670661,693,"[-9.25, 10.0, 0]",83.11003875732422,0.0,67.0664291381836,1653443950304216320,
0,0.001,1,False,545,2,2,2,0,0,0,-663.5381817670661,693,"[-9.25, 10.0, 0]",83.11003875732422,0.0,67.0664291381836,1653443950304216320,
0,0.001,1,False,431,4,4,4,0,0,1,-675.9384155458512,1253,"[11.0, -9.25, 0]",61.53413391113281,0.0,50.43407440185547,1653444044035954688,
0,0.002,2,True,479,5,5,5,0,0,1,538.0938404367287,1732,"[9.0, 7.5, 0]",68.98491668701172,0.0,57.58622741699219,1653444102685656832,
0,0.002,2,False,542,6,6,6,0,0,1,-659.1905859553096,2274,"[7.5, -8.75, 0]",79.71400451660156,0.0,65.23339080810547,1653444169020663552,
0,0.002,2,False,251,7,7,7,0,0,1,-377.6711433664424,2525,"[-7.25, -9.75, 0]",41.157928466796875,0.0,33.735721588134766,1653444203819843840,
0,0.002,2,False,289,8,8,8,0,0,1,-392.04234081767805,2814,"[9.5, -8.75, 0]",51.921409606933594,0.0,40.04185485839844,1653444244851990784,
0,0.002,2,False,511,9,9,9,0,0,1,-635.512898609412,3325,"[-10.75, -8.75, 0]",105.28562927246094,0.0,70.20149993896484,1653444316142831616,
0,0.003,3,True,343,10,10,10,0,0,1,670.1316692368612,3668,"[-7.25, -9.25, 0]",61.42821502685547,0.0,47.11900329589844,1653444364522273792,
0,0.003,3,False,389,11,11,11,0,0,1,-493.6659741227178,4057,"[8.5, -9.25, 0]",70.9542236328125,0.0,53.7131462097168,1653444419401338368,
0,0.003,3,False,309,12,12,12,0,0,1,-412.40051036404935,4366,"[-8.75, -7.25, 0]",59.60331344604492,0.0,43.64493179321289,1653444464163099136,
0,0.003,3,False,267,13,13,13,0,0,1,-391.4835955947045,4633,"[10.0, 10.0, 0]",51.50086212158203,0.0,38.745826721191406,1653444503993441536,
0,0.003,3,False,213,14,14,14,0,0,1,-312.94545708111457,4846,"[9.5, -8.75, 0]",39.0556526184082,0.0,32.55669403076172,1653444537615846400,
0,0.003,3,False,223,15,15,15,0,0,1,-341.27350466791006,5069,"[10.0, 7.5, 0]",45.2635383605957,0.0,33.969722747802734,1653444572637414144,
0,0.004,4,True,260,16,16,16,0,0,1,751.6749648918224,5329,"[10.0, -11.25, 0]",49.62251281738281,0.0,38.82082748413086,1653444612539347456,
