cur_zone_number,success_ratio_within_window,success_count_within_window,success,stepN,episodeN,episodeNInZone,episodeInWindow,ease_count,total_streched_ctr,restart_game_count,total_reward,total_step_count_for_experiment,goal,distance_traveled,energy_consumed,flight_time,time_stamp,weight_file_under_test
0,0.001,1,True,478,1,1,1,0,0,0,535.522601451891,478,"[-8.75, -11.25, 0]",55.325157165527344,0.0,40.96587371826172,1652810060493785600,
0,0.002,2,True,498,2,2,2,0,0,0,516.2531070011137,976,"[-7.25, -9.25, 0]",64.59795379638672,0.0,46.09598159790039,1652810107486513152,
0,0.002,2,False,274,3,3,3,0,0,0,-378.4368541628308,1250,"[7.5, -11.25, 0]",37.60762023925781,0.0,27.855594635009766,1652810136201423872,
0,0.002,2,False,750,4,4,4,0,0,0,-854.1395533185736,2000,"[-9.25, -7.75, 0]",86.57182312011719,0.0,67.23143768310547,1652810204235090176,
0,0.002,2,False,308,5,5,5,0,0,0,-419.46902971574326,2308,"[9.5, 7.0, 0]",42.35957717895508,0.0,31.230667114257812,1652810236351919360,
0,0.002,2,False,313,6,6,6,0,0,0,-432.6248502034348,2621,"[-7.25, 11.0, 0]",41.051876068115234,0.0,32.70069885253906,1652810269834042624,
0,0.002,2,False,695,7,7,7,0,0,0,-800.0116554712461,3316,"[7.5, -8.75, 0]",129.47061157226562,0.0,72.96455383300781,1652810343609744384,
0,0.002,2,False,750,8,8,8,0,0,0,-853.4596990800984,4066,"[7.5, 8.5, 0]",135.49026489257812,0.0,85.86782836914062,1652810430359175424,
0,0.002,2,False,750,9,9,9,0,0,0,-866.4127926086571,4816,"[-10.25, -10.25, 0]",113.08696746826172,0.0,89.02690124511719,1652810520307593216,
0,0.002,2,False,750,10,10,10,0,0,0,-859.6140422479873,5566,"[10.0, 8.5, 0]",146.80538940429688,0.0,93.91699981689453,1652810615141086720,
0,0.002,2,False,267,11,11,11,0,0,0,-387.9038592124112,5833,"[-10.75, -10.25, 0]",43.300201416015625,0.0,35.883766174316406,1652810651977651200,
0,0.002,2,False,522,12,12,12,0,0,0,-640.3150264856911,6355,"[10.0, 9.0, 0]",83.7908706665039,0.0,65.18238830566406,1652810717962415616,
0,0.002,2,False,750,13,13,13,0,0,0,-855.193096923855,7105,"[8.5, 9.5, 0]",117.2933120727539,0.0,93.54499816894531,1652810812376800000,
0,0.002,2,False,750,14,14,14,0,0,0,-859.280890834297,7855,"[-7.75, 10.0, 0]",122.49178314208984,0.0,96.85406494140625,1652810910154104576,
0,0.002,2,False,418,15,15,15,0,0,0,-519.8968394746237,8273,"[10.0, -8.25, 0]",70.18085479736328,0.0,57.82323455810547,1652810968936491520,
0,0.002,2,False,183,16,16,16,0,0,0,-314.5293196222442,8456,"[-9.25, 10.5, 0]",46.92159652709961,0.0,28.69561195373535,1652810998526233856,
0,0.003,3,True,80,17,17,17,0,0,0,932.4899205597146,8536,"[11.0, 7.0, 0]",21.914058685302734,0.0,15.612333297729492,1652811014996046336,
0,0.003,3,False,432,18,18,18,0,0,0,-534.8573888912736,8968,"[11.0, -10.75, 0]",88.82342529296875,0.0,60.01628112792969,1652811075844316416,
0,0.003,3,False,690,19,19,19,0,0,0,-820.1519743806856,9658,"[10.0, 8.5, 0]",119.0415267944336,0.0,93.82400512695312,1652811170535900416,
0,0.003,3,False,407,20,20,20,0,0,0,-527.4674817743393,10065,"[-10.25, 7.0, 0]",74.58899688720703,0.0,57.931236267089844,1652811229417449472,
0,0.004,4,True,342,21,21,21,0,0,0,669.3701410233834,10407,"[-10.75, -7.75, 0]",61.7588005065918,0.0,49.70505905151367,1652811279991411968,
0,0.004,4,False,473,22,22,22,0,0,0,-600.4866181864454,10880,"[8.5, 9.5, 0]",90.70150756835938,0.0,66.77542114257812,1652811347659266560,
0,0.004,4,False,171,23,23,23,0,0,0,-293.2187116696547,11051,"[-10.75, -9.25, 0]",35.783504486083984,0.0,27.88259506225586,1652811376475700736,
0,0.005,5,True,121,24,24,24,0,0,0,891.9019283148709,11172,"[10.0, -9.75, 0]",31.363494873046875,0.0,21.624462127685547,1652811398908188672,
0,0.005,5,False,695,25,25,25,0,0,0,-814.5012625563182,11867,"[9.0, 8.5, 0]",138.1648406982422,0.0,97.00406646728516,1652811496755677952,
0,0.005,5,False,241,26,26,26,0,0,0,-359.85268307906676,12108,"[-9.25, 8.0, 0]",49.33103942871094,0.0,37.839805603027344,1652811535535145472,
0,0.005,5,False,135,27,27,27,0,0,0,-238.08182979970476,12243,"[7.5, -7.25, 0]",36.78042984008789,0.0,23.730506896972656,1652811560115466496,
0,0.005,5,False,215,28,28,28,0,0,0,-330.17387559190405,12458,"[-9.75, -11.25, 0]",43.81573486328125,0.0,34.81874465942383,1652811595798624000,
0,0.006,6,True,73,29,29,29,0,0,0,940.5636763876577,12531,"[8.5, -10.25, 0]",24.943729400634766,0.0,15.561331748962402,1652811612213852672,
0,0.006,6,False,750,30,30,30,0,0,0,-858.4514861977606,13281,"[9.0, 9.5, 0]",141.11138916015625,0.0,108.26030731201172,1652811721350168832,
0,0.006,6,False,137,31,31,31,0,0,0,-237.9534684557745,13418,"[10.5, -8.25, 0]",44.39266586303711,0.0,24.89453125,1652811747253724416,
0,0.007,7,True,119,32,32,32,0,0,0,893.0074782567499,13537,"[11.0, -7.25, 0]",32.88409423828125,0.0,22.110471725463867,1652811770230976768,
0,0.008,8,True,670,33,33,33,0,0,0,342.0405512540667,14207,"[11.0, -8.75, 0]",130.83413696289062,0.0,99.65912628173828,1652811870760183296,
0,0.008,8,False,170,34,34,34,0,0,0,-287.01899037196785,14377,"[-7.75, 9.0, 0]",39.867366790771484,0.0,29.673633575439453,1652811901437544960,
0,0.009,9,True,60,35,35,35,0,0,0,950.5289908187697,14437,"[9.5, -7.75, 0]",22.16619110107422,0.0,14.265304565429688,1652811916578454528,
0,0.009,9,False,319,36,36,36,0,0,0,-441.07739797437927,14756,"[-7.25, -8.25, 0]",61.16228103637695,0.0,51.574100494384766,1652811969007211008,
0,0.01,10,True,59,37,37,37,0,0,0,950.0886992067433,14815,"[8.0, 9.5, 0]",21.441007614135742,0.0,14.292304992675781,1652811984185352192,
0,0.01,10,False,157,38,38,38,0,0,0,-255.62990648943764,14972,"[11.0, -9.25, 0]",41.674766540527344,0.0,28.230602264404297,1652812013300296960,
0,0.01,10,False,212,39,39,39,0,0,0,-311.4115461560566,15184,"[9.0, -8.25, 0]",51.36556625366211,0.0,36.50777816772461,1652812050637384960,
0,0.011,11,True,198,40,40,40,0,0,0,812.5550727056959,15382,"[-10.25, -7.25, 0]",52.026180267333984,0.0,34.5427360534668,1652812086057163264,
0,0.012,12,True,65,41,41,41,0,0,0,946.4449222963167,15447,"[7.0, -8.25, 0]",21.896108627319336,0.0,15.345327377319336,1652812102312571392,
0,0.012,12,False,447,42,42,42,0,0,0,-566.9762630861779,15894,"[9.5, 8.0, 0]",90.96324920654297,0.0,72.60755157470703,1652812175779050752,
0,0.013,13,True,205,43,43,43,0,0,0,805.69394662488,16099,"[10.5, -10.75, 0]",58.024818420410156,0.0,37.275794982910156,1652812213974248704,
0,0.013,13,False,521,44,44,44,0,0,0,-623.1535388360653,16620,"[9.0, 9.5, 0]",119.70182800292969,0.0,85.61882781982422,1652812300491945216,
0,0.013,13,False,117,45,45,45,0,0,0,-216.38577170747672,16737,"[10.0, -11.25, 0]",39.76082229614258,0.0,23.937511444091797,1652812325392787712,
0,0.014,14,True,343,46,46,46,0,0,0,670.7650762241876,17080,"[9.5, -7.25, 0]",90.4990005493164,0.0,60.9463005065918,1652812387181968128,
0,0.014,14,False,280,47,47,47,0,0,0,-399.6474432360046,17360,"[-7.25, 9.5, 0]",75.85768127441406,0.0,63.010345458984375,1652812451262923008,
0,0.015,15,True,373,48,48,48,0,0,0,636.8771322717762,17733,"[-9.75, 8.5, 0]",122.59483337402344,0.0,101.1861572265625,1652812553577084416,
0,0.015,15,False,64,49,49,49,0,0,0,-186.57218550647985,17797,"[-7.25, -9.75, 0]",41.155574798583984,0.0,31.95368194580078,1652812586998394624,
0,0.015,15,False,74,50,50,50,0,0,0,-192.7603520495126,17871,"[-9.75, -9.75, 0]",55.994232177734375,0.0,37.13179016113281,1652812625297956096,
0,0.016,16,True,16,51,51,51,0,0,0,995.7291518822932,17887,"[8.5, -11.25, 0]",23.924732208251953,0.0,13.527288436889648,1652812639915617792,
0,0.016,16,False,140,52,52,52,0,0,0,-257.9198322709768,18027,"[-11.25, -8.75, 0]",65.62039184570312,0.0,54.75416946411133,1652812695845912576,
0,0.016,16,False,52,53,53,53,0,0,0,-172.1778381675705,18079,"[-11.25, 8.0, 0]",39.756317138671875,0.0,25.980554580688477,1652812722983668480,
0,0.016,16,False,377,54,54,54,0,0,0,-477.2910559056467,18456,"[-11.25, 8.0, 0]",179.47962951660156,0.0,153.02127075195312,1652812877062159616,
0,0.016,16,False,195,55,55,55,0,0,0,-314.430917915898,18651,"[8.5, 10.0, 0]",92.39804077148438,0.0,84.58980560302734,1652812962976126720,
0,0.016,16,False,69,56,56,56,0,0,0,-169.24254625645017,18720,"[10.5, -10.75, 0]",48.49957275390625,0.0,35.89576721191406,1652813000120622848,
0,0.016,16,False,69,56,56,56,0,0,0,-169.24254625645017,18720,"[10.5, -10.75, 0]",48.49957275390625,0.0,35.89576721191406,1652813000120622848,
