cur_zone_number,success_ratio_within_window,success_count_within_window,success,stepN,episodeN,episodeNInZone,episodeInWindow,ease_count,total_streched_ctr,restart_game_count,total_reward,total_step_count_for_experiment,goal,distance_traveled,energy_consumed,flight_time,time_stamp,weight_file_under_test
0,0.0,0,False,750,1,1,1,0,0,0,-854.5429353842154,750,"[7.5, 10.5, 0]",86.02715301513672,0.0,68.4224624633789,1652800843953542656,
0,0.0,0,False,576,2,2,2,0,0,0,-673.9424645183244,1326,"[-10.25, -7.25, 0]",68.18624114990234,0.0,52.54011917114258,1652800897337268224,
0,0.0,0,False,750,3,3,3,0,0,0,-845.5286352109922,2076,"[8.5, 10.0, 0]",85.43258666992188,0.0,67.1684341430664,1652800965301240320,
0,0.0,0,False,274,4,4,4,0,0,0,-396.16445363537855,2350,"[-9.75, 9.0, 0]",38.884246826171875,0.0,28.728612899780273,1652800994832840704,
0,0.0,0,False,312,5,5,5,0,0,0,-414.23712776290154,2662,"[8.0, -7.25, 0]",41.467350006103516,0.0,32.313690185546875,1652801027883030016,
0,0.0,0,False,289,6,6,6,0,0,0,-406.8285852045002,2951,"[-11.25, -9.25, 0]",45.07593536376953,0.0,32.823699951171875,1652801061466881792,
0,0.001,1,True,120,7,7,7,0,0,0,893.442246375116,3071,"[8.5, -10.25, 0]",26.153778076171875,0.0,16.851360321044922,1652801079082547456,
0,0.001,1,False,241,8,8,8,0,0,0,-358.8798490022464,3312,"[10.5, 8.0, 0]",42.48176574707031,0.0,28.365604400634766,1652801108257530368,
0,0.001,1,False,294,9,9,9,0,0,0,-395.68070946888645,3606,"[-7.25, -9.25, 0]",47.02010726928711,0.0,34.10172653198242,1652801143103037184,
0,0.001,1,False,750,10,10,10,0,0,0,-851.803678531384,4356,"[8.0, 10.5, 0]",113.16271209716797,0.0,84.45480346679688,1652801228346657024,
0,0.001,1,False,275,11,11,11,0,0,0,-394.180845809651,4631,"[9.5, 7.0, 0]",47.53874588012695,0.0,35.61075973510742,1652801264763678720,
